Code,Description
2563,IZHMASH
455,J & R ENGINEERING
1819,J & W TOLLEY
1824,J BEATTIE & SON
1825,J BLANCH & SON
2887,J BLISSETT
3240,J BRADDEL
1850,J BRADDELL & SON
2715,J BURROWS
140,J C HIGGINS (HIGGINS)
1829,J D DOUGALL & SONS
2247,J DEANE & SON
1839,J F KING
1790,J F SMYTHE
1521,J G LANDMANN
1616,J GRAINGER & SON
2735,J GREAVES
2909,J H CRANE
1919,J HOBSON
2730,J KEEN
646,J L GALEF & SONS
3163,J MACNAUGHTON & SONS
2847,J MORETON
2442,J O MAYNE
2046,J ROBERTS & SON
2849,J T HARTWELL & SON
407,J THOMAS
2737,J V POTTER
1031,J W JEFFREY & CO LTD
2821,J WILKES
4125,J. FUNK
4190,J. NOWOTNY
4192,J. SACKREUTER
1029,J. WOODWARD & SONS
4480,J.D DOUGALL
3516,J.J JANE
4366,J.J LANGLEY
1095,J.L. GALEF & SON
4455,J.P.SAUER&SOHN
1885,J.S.BOREHAM
1465,JABALI
4319,JACKSON NOTTINGHAM
2355,JACQMART
186,JAGER
1658,JAGUAR
3642,JALONEN
2984,JAMART AND COMPANY
2852,JAMES & ROBERTS
4328,JAMES FAIRMAN
1851,JAMES GREGSON
2917,JAMES KERR
4035,JAMES KIRK
2275,JAMES LANG
1517,JAMES REYNOLDS & GEORGE
4166,JAMES ROWE
4286,JAMES WILLIAMS & CO
2910,JANSSEN FILS & CO
2447,JAPANESE MURATA
2488,JARRETT RIFLE INC
3512,JEAN STASSART
2436,JEFFERY
27,JENNINGS
1069,JERICHO
2727,JFC
2491,JGA
4145,JGA KARABINER
1541,JIANGSU
300,JIEFFECO
2220,JOH FANZOJ
3968,JOH JAC REEB
3817,JOHANNSEN
1823,JOHN BARTON
3737,JOHN BOLLINGER
238,JOHN DICKSON & SON
1891,JOHN FRY
3584,JOHN HALL
1660,JOHN HAYTON
456,JOHN INGLIS
4393,JOHN PARKINSON
2857,JOHN REEVES & CO
1789,JOHN WILKES
4191,JOLOAR
1620,JONAS INC
3169,JONATHAN ARTHUR CIENER
2132,JONES
3834,JOS DAHL
1457,JOSEF JUST
3903,JOSEF-JUST
1511,JOSEPH BOURNE & SON
3160,JOSEPH CURRY
1717,JOSEPH DEFOURNY
1771,JOSEPH LANG & SONS
2784,JOSEPH LECLERCQ
4499,JOSEPH WEBBER & CO
4042,JP ENTERPRISES
4501,JP SMITHSON
3618,JS SHARPE
2100,JSF BOTHA
1025,JSL
2229,JUKAR
4370,JULIUS HESSMER
3442,JUMBO
4396,JUNIOR ARMY
2864,K B P
3415,K WERLIK
4391,K.D.RADCLIFFE
2382,K.F.C
4472,K.STOAKEN & CO
3372,K98 ISRAELI MAUSER
1769,KABA
2484,KAHR
1446,KALASHNIKOV
4269,KALE
1784,KARABIN 31
1645,KAREEN
4289,KARIEGA
4420,KARL BACKMUND
926,KARL BURGSMULLER
3779,KARL HAUPTMANN
4198,KARRI'S GUNS
2485,KART
71,KASSNAR
1550,KAWAGUGHIA
4273,KD THOMAS
692,KDF
3075,KEEP BROS
2439,KEL-TEC CNC
1454,KELBER
